City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,lerwick,60.1545,-1.1494,11.06,90,97,10.57,GB,1731433051
314,princeville,45.7668,-61.2985,9.17,100,100,3.6,CA,1731433052
315,paulinia,-22.7611,-47.1542,33.52,36,3,3.57,BR,1731433053
316,homer,59.6425,-151.5483,-0.07,72,0,1.54,US,1731432919
317,touros,-5.1989,-35.4608,28.97,56,44,5.9,BR,1731433055
318,nova sintra,14.8667,-24.7167,26.37,70,12,10.89,CV,1731432882
319,manglaur,29.8,77.8667,20.02,47,0,1.77,IN,1731433057
320,mbandaka,0.0487,18.2603,25.88,72,94,1.68,CD,1731433059
321,lucas,41.6501,-83.6666,9.08,63,75,5.14,US,1731433060
322,gamba,-2.65,10.0,25.79,91,99,3.73,GA,1731433061
323,tamanrasset,22.785,5.5228,21.95,20,0,2.06,DZ,1731433062
324,gisborne,-38.6533,178.0042,11.11,85,10,1.59,NZ,1731433063
325,murgab,37.4966,61.9714,9.93,87,75,5.14,TM,1731433064
326,burgersdorp,-30.9977,26.3286,21.32,32,44,5.32,ZA,1731433065
327,sao miguel do araguaia,-13.275,-50.1628,28.35,70,81,3.23,BR,1731433066
328,gejiu,23.306,103.1635,12.42,96,33,0.78,CN,1731433067
329,zheleznodorozhnyy,55.7503,38.0042,0.75,80,67,2.66,RU,1731433069
330,mount pearl,47.5166,-52.7813,12.19,96,100,6.17,CA,1731433070
331,six-fours-les-plages,43.0938,5.84,14.73,72,96,3.13,FR,1731433071
332,coyhaique,-45.5752,-72.0662,8.23,100,100,2.64,CL,1731432960
333,rawson,-43.3002,-65.1023,22.16,30,0,7.2,AR,1731433073
334,orange cove,36.6244,-119.3137,11.8,93,20,1.54,US,1731433014
335,kalifornsky,60.4183,-151.29,-12.83,85,0,2.57,US,1731433075
336,magadan,59.5667,150.8,-16.58,73,80,4.06,RU,1731433076
337,belmonte,-15.8631,-38.8828,27.19,72,28,5.91,BR,1731433078
338,sanming,26.2486,117.6186,18.66,95,14,1.49,CN,1731433079
339,le port,-20.9373,55.2919,23.98,99,76,1.93,RE,1731433080
340,port moresby,-9.4431,147.1797,24.68,94,20,1.54,PG,1731433081
341,tanout,14.9709,8.8879,27.72,17,0,3.92,NE,1731433082
342,oodweyne,9.4092,45.064,22.51,61,37,6.07,SO,1731433083
343,kanniyakumari,8.0833,77.5667,27.07,79,43,4.75,IN,1731433084
344,thunder bay,48.4001,-89.3168,3.99,75,40,0.51,CA,1731433042
345,mulchen,-37.7167,-72.2333,22.19,29,69,5.21,CL,1731433086
346,ankazoabo,-22.2833,44.5167,28.34,31,98,4.86,MG,1731433088
347,gizo,-8.103,156.8419,27.63,79,54,2.7,SB,1731433089
348,dolores,-36.3132,-57.6792,22.55,29,37,3.72,AR,1731433090
349,antofagasta,-23.65,-70.4,19.6,70,10,3.61,CL,1731432460
350,brazzaville,-4.2658,15.2832,26.35,76,42,1.35,CG,1731433092
351,cidreira,-30.1811,-50.2056,20.02,46,41,6.9,BR,1731432891
352,agadez,19.75,10.25,23.3,21,0,2.93,NE,1731433094
353,mezhdurechenskiy,59.6,65.9333,-10.21,98,99,1.31,RU,1731433095
354,kapuskasing,49.4169,-82.4331,-1.95,86,100,1.54,CA,1731433096
355,jaisalmer,26.9147,70.9181,27.29,28,0,2.88,IN,1731433097
356,balnearia,-31.0088,-62.6673,27.41,17,48,3.39,AR,1731433099
357,alto barinas,8.5931,-70.2261,32.3,53,76,3.12,VE,1731433100
358,borogontsy,62.6683,131.1683,-25.55,100,96,2.19,RU,1731433101
359,minas de marcona,-15.2119,-75.1103,20.12,53,71,6.17,PE,1731433102
360,ar ruways,24.1103,52.7306,25.13,69,0,2.11,AE,1731433103
361,san sebastian de la gomera,28.0916,-17.1133,23.2,73,20,3.6,ES,1731433104
